"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","refurl","att","SUCCESS","pause1","Kc[KnPR]","HrKnPRAgr","HrKnPRAgr[other]","HrKnPRDis","HrKnPRDis[other]","HrKnPRHes","HrKnPRHes[other]","HrKnPRAgrOt","HrKnPRDisOt","HrKnPRHesOt","IntChair","M3","M4","PROLIFIC","interviewtime","groupTime48290","attTime","groupTime48289","SUCCESSTime","pause1Time","groupTime48293","KcTime","groupTime48295","HrKnPRAgrTime","HrKnPRDisTime","HrKnPRHesTime","HrKnPRAgrOtTime","HrKnPRDisOtTime","HrKnPRHesOtTime","groupTime48294","IntChairTime","groupTime48291","M3Time","M4Time","PROLIFICTime"
"8","2025-05-07 22:10:02","6","en","299747408","2025-05-07 22:08:10","2025-05-07 22:10:02","174.27.204.236","","A5","","","A5","AGA","","","","","","","","","A2","3","0","66d5d10f4defd1d7b2cdd5c5","114.33","32.46","","6.49","","","41.3","","18.19","","","","","","","6.24","","9.65","","",""
"9","2025-05-07 22:13:28","6","en","1279915153","2025-05-07 22:10:39","2025-05-07 22:13:28","75.219.34.190","","A5","","","A7","AGR","","","","","","","","","A2","3","0","6711729a71c35dc0418b2ef3","170.37","44.82","","9.62","","","51.72","","44.15","","","","","","","8.02","","12.04","","",""
"10","2025-05-07 22:15:06","6","en","87338052","2025-05-07 22:11:10","2025-05-07 22:15:06","69.178.117.196","","A5","","","A6","AGR","","","","","","","","","A2","3","0","67511b1497ff44e336a37e44","238.42","61.64","","8.94","","","96.04","","36.91","","","","","","","16.04","","18.85","","",""
"11","2025-05-07 22:13:24","6","en","653677047","2025-05-07 22:11:16","2025-05-07 22:13:24","161.38.2.80","https://app.prolific.com/","A5","","","A7","AGR","","","","","","","","","A2","2","0","660207c28ad9227816c9593d","130.42","48.36","","8.09","","","38.61","","16.53","","","","","","","6.21","","12.62","","",""
"12","2025-05-07 22:15:36","6","en","617102550","2025-05-07 22:11:54","2025-05-07 22:15:36","82.5.210.106","","A5","","","A7","AGR","","","","","","","","","A2","2","0","5f25419d6c25411a2b68ddd8","222.81","84.23","","23.48","","","54.74","","21.95","","","","","","","26.05","","12.36","","",""
"13","2025-05-07 22:18:11","6","en","398079403","2025-05-07 22:13:26","2025-05-07 22:18:11","97.163.32.120","","A5","","","A7","AGA","","","","","","","","","A2","3","0","66b1ae2bf1b4bbd5740d658a","288.72","118.2","","5.8","","","32.67","","33.35","","","","","","","82.78","","15.92","","",""
"14","2025-05-07 22:23:16","6","en","17461133","2025-05-07 22:20:30","2025-05-07 22:23:16","86.174.22.16","","A5","","","A7","AGA","","","","","","","","","A2","3","0","58404fd8ad98e40001ce915f","169.1","47.2","","4.89","","","44.55","","45.96","","","","","","","10.61","","15.89","","",""
"15","2025-05-07 22:25:07","6","en","993389012","2025-05-07 22:22:37","2025-05-07 22:25:07","81.86.135.34","","A5","","","A6","AGA","","","","","","","","","A2","2","0","5cf765f7b026f40001fe1bc6","152.18","62.75","","6.36","","","41.44","","16.36","","","","","","","10.44","","14.83","","",""
"16","2025-05-07 22:25:17","6","en","842786714","2025-05-07 22:22:47","2025-05-07 22:25:17","161.8.175.190","","A5","","","A7","AGB","","","","","","","","","A2","5","1","6741ce8667002c96f0362d34","152.99","37.39","","3.65","","","30.34","","25.71","","","","","","","15.99","","39.91","","",""
"17","2025-05-07 22:24:26","6","en","1150112170","2025-05-07 22:22:56","2025-05-07 22:24:26","70.121.184.179","","A5","","","A7","AGA","","","","","","","","","A2","2","0","651c4484ba17050f6b716614","92.5","30.72","","6.04","","","16.4","","13.47","","","","","","","10.99","","14.88","","",""
"18","2025-05-07 22:25:24","6","en","1472320611","2025-05-07 22:23:13","2025-05-07 22:25:24","67.177.4.159","","A5","","","A7","AGA","","","","","","","","","A2","3","0","677601065642ec4c09a1a933","131.92","26.77","","6.11","","","26.83","","32.64","","","","","","","6.25","","33.32","","",""
"19","2025-05-07 22:28:12","6","en","1733967728","2025-05-07 22:23:59","2025-05-07 22:28:12","204.9.19.80","","A5","","","A7","AGA","","","","","","","","","A2","5","0","5a5c23afe0cf3d0001268781","254.17","72.86","","4.05","","","14.35","","83.49","","","","","","","5.92","","73.5","","",""
"20","2025-05-07 22:25:26","6","en","225232944","2025-05-07 22:24:05","2025-05-07 22:25:26","69.251.249.1","","A5","","","A7","AGB","","","","","","","","","A2","3","0","6723fefd7a09fe9da8f9bd10","82.9","18.89","","2.43","","","29.47","","22.15","","","","","","","4.13","","5.83","","",""
"21","2025-05-07 22:33:54","6","en","1608914417","2025-05-07 22:24:39","2025-05-07 22:33:54","23.153.64.17","","A5","","","A4","","","","","AGR","","","","","A2","4","0","67dcc454ea9aca49011e1373","556.24","94.26","","13.05","","","110.76","","218.51","","","","","","","32.03","","87.63","","",""
"22","2025-05-07 22:28:30","6","en","1909995611","2025-05-07 22:25:22","2025-05-07 22:28:30","81.109.76.50","","A5","","","A7","AGA","","","","","","","","","A2","4","0","67803b5508f3d995ef13696b","189.99","64.2","","10.52","","","53.36","","31.02","","","","","","","7.12","","23.77","","",""
"23","2025-05-07 22:27:37","6","en","1729882841","2025-05-07 22:25:47","2025-05-07 22:27:37","81.100.83.19","","A5","","","A4","","","","","AGB","","","","","A2","4","0","5d9e3b307b8a7d00169f35c0","112.05","29.08","","3.26","","","49.05","","16.57","","","","","","","5.37","","8.72","","",""
"24","2025-05-07 22:29:58","6","en","2062281730","2025-05-07 22:26:19","2025-05-07 22:29:58","86.109.87.190","","A5","","","A7","AGA","","","","","","","","","A2","4","0","67cf641ea8d0de4b9a381a8a","221.02","44.77","","9.41","","","123.44","","20.74","","","","","","","6.87","","15.79","","",""
"25","2025-05-07 22:36:04","6","en","1523585358","2025-05-07 22:26:26","2025-05-07 22:36:04","168.235.144.207","","A5","","","A2","","","AGB","","","","","","","A2","3","0","67f2e7e796881a7894a2390e","580.52","36.51","","10.22","","","106.65","","38.99","","","","","","","30.79","","357.36","","",""
"26","2025-05-07 22:28:56","6","en","1460741085","2025-05-07 22:26:59","2025-05-07 22:28:56","173.63.144.162","","A5","","","A6","AGA","","","","","","","","","A2","4","1","66e8661e0c5e57cda7bf2d39","119","60.17","","2.37","","","22.31","","18.44","","","","","","","5.35","","10.36","","",""
"27","2025-05-07 22:28:53","6","en","390532892","2025-05-07 22:27:01","2025-05-07 22:28:53","76.169.186.43","","A5","","","A6","AGA","","","","","","","","","A2","2","0","67325d10b9e0c58d803cd7ba","114.71","39.15","","4.57","","","24.33","","17.43","","","","","","","9.27","","19.96","","",""
"28","2025-05-07 22:33:36","6","en","1943634892","2025-05-07 22:27:04","2025-05-07 22:33:36","172.56.25.126","","A5","","","A6","AGA","","","","","","","","","A2","4","1","67ef1d25b8fe6887e5733c5e","391.49","95.23","","29.12","","","141.52","","38.55","","","","","","","56.14","","30.93","","",""
"29","2025-05-07 22:42:35","6","en","1058174475","2025-05-07 22:40:06","2025-05-07 22:42:35","67.101.122.100","","A5","","","A7","AGB","","","","","","","","","A2","3","0","67a8e8efd1fbc05b723469f0","150.96","36.97","","16.41","","","22.55","","26.49","","","","","","","19.88","","28.66","","",""
"30","2025-05-07 22:44:01","6","en","1979467929","2025-05-07 22:40:26","2025-05-07 22:44:01","92.40.181.19","","A5","","","A7","AGA","","","","","","","","","A2","5","0","5edeea354d54cb1a825aa8f9","217.43","94.18","","8.47","","","56.88","","28.26","","","","","","","12.74","","16.9","","",""
"31","2025-05-07 22:43:54","6","en","1032088843","2025-05-07 22:40:42","2025-05-07 22:43:54","108.209.162.68","","A5","","","A7","AGA","","","","","","","","","A2","2","0","674345f9aa4a485b13423e9a","195.11","52.53","","6.59","","","60.69","","44.86","","","","","","","12.37","","18.07","","",""
"32","2025-05-07 22:44:30","6","en","530616557","2025-05-07 22:41:19","2025-05-07 22:44:30","104.218.199.201","","A5","","","A1","","","AGA","","","","","","","A2","5","1","67ef0bcaa1313c7666e08ab9","248.21","64.46","","5.87","","","109.61","","38.26","","","","","","","11.5","","18.51","","",""
"33","2025-05-07 22:46:24","6","en","696013272","2025-05-07 22:43:03","2025-05-07 22:46:24","108.147.32.37","","A5","","","A4","","","","","-oth-","","","","It was clear he knew it might but he did not care","A2","5","0","67abd57a8bc907775a0d58fa","253.25","102.33","","9.32","","","42.39","","78.03","","","","","","","7.82","","13.36","","",""
"34","2025-05-07 22:50:22","6","en","968970419","2025-05-07 22:43:14","2025-05-07 22:50:22","161.77.12.138","https://app.prolific.com/","A5","","","A7","AGR","","","","","","","","","A2","4","1","6811522a7d4de19ac966290d","430.04","151.92","","6.13","","","17.32","","28.27","","","","","","","26.82","","199.58","","",""
"35","2025-05-07 22:49:23","6","en","1595833405","2025-05-07 22:43:31","2025-05-07 22:49:23","109.152.8.169","","A5","","","A7","AGA","","","","","","","","","A2","4","0","67c48c29073e1078535e0f45","353.39","129.2","","11.97","","","56.27","","44.82","","","","","","","26.82","","84.31","","",""
"36","2025-05-07 22:51:13","6","en","2044841791","2025-05-07 22:49:30","2025-05-07 22:51:13","68.251.119.118","","A5","","","A7","AGA","","","","","","","","","A2","4","1","5c74e7e9c3fe130001e86cc8","105.58","29.33","","7.82","","","29.47","","20.26","","","","","","","8.6","","10.1","","",""
"37","2025-05-07 22:56:40","6","en","1320363116","2025-05-07 22:51:22","2025-05-07 22:56:40","71.196.71.91","","A5","","","A7","-oth-","","","","","","The CEO knew that implementing the new program would help the environment because the vice-president told him that it would.","","","A2","3","0","666efb72703de8fb31acc194","319.66","80.6","","9.81","","","43.1","","154.92","","","","","","","12.92","","18.31","","",""
"38","2025-05-07 22:55:12","6","en","1026341649","2025-05-07 22:51:34","2025-05-07 22:55:12","207.38.182.136","","A5","","","A7","AGA","","","","","","","","","A2","3","1","67cc3eed8e11f5ac44b6e131","219.08","77.87","","11.19","","","58.74","","38.94","","","","","","","12.3","","20.04","","",""
"39","2025-05-07 22:54:40","6","en","126903023","2025-05-07 22:52:00","2025-05-07 22:54:40","70.124.61.35","","A5","","","A7","AGA","","","","","","","","","A2","3","1","66e8d1826ef24a26511c2ac6","163.18","70.32","","7.53","","","33.49","","29.48","","","","","","","7.57","","14.79","","",""
"40","2025-05-07 22:58:08","6","en","372762850","2025-05-07 22:53:28","2025-05-07 22:58:08","75.219.151.30","","A5","","","A1","","","AGA","","","","","","","A2","4","0","67ece9196415f83b88c87e3d","282.46","107.2","","12.79","","","52.82","","65.87","","","","","","","9.67","","34.11","","",""
"41","2025-05-07 23:03:08","6","en","1770959525","2025-05-07 22:59:16","2025-05-07 23:03:08","69.203.103.242","","A5","","","A5","AGA","","","","","","","","","A2","2","0","678601bc84e8fe5db695b1fe","233.2","48.97","","9.99","","","100.18","","28.17","","","","","","","30.59","","15.3","","",""
"42","2025-05-07 23:01:45","6","en","290888601","2025-05-07 23:00:23","2025-05-07 23:01:45","74.196.63.140","","A5","","","A7","AGR","","","","","","","","","A2","4","0","59e7477e3e4b5a00016aa4d2","84.45","29.55","","3.66","","","15.64","","20.06","","","","","","","5.2","","10.34","","",""
"43","2025-05-07 23:03:28","6","en","375027951","2025-05-07 23:01:14","2025-05-07 23:03:28","73.223.112.198","","A5","","","A4","","","","","AGA","","","","","A2","4","0","6422f34be2b8257efb345837","136.81","35.31","","5.74","","","41.59","","38.71","","","","","","","5.05","","10.41","","",""
"44","2025-05-07 23:03:46","6","en","2133749512","2025-05-07 23:01:30","2025-05-07 23:03:46","172.56.60.233","","A5","","","A6","AGA","","","","","","","","","A2","2","0","62686c6e90a0f6fe0a6c646a","138.9","40.77","","10.42","","","33.56","","35.36","","","","","","","5.64","","13.15","","",""
"45","2025-05-07 23:03:54","6","en","763717004","2025-05-07 23:01:44","2025-05-07 23:03:54","173.243.241.25","","A5","","","A1","","","AGR","","","","","","","A2","3","0","593e6e9ea2bf080001ed3bba","131.84","36.87","","3.55","","","18.02","","55.12","","","","","","","7.06","","11.22","","",""
"46","2025-05-07 23:04:41","6","en","1314439004","2025-05-07 23:02:14","2025-05-07 23:04:41","75.224.10.146","","A5","","","A7","AGA","","","","","","","","","A2","3","0","65fb580ab7fbb2d518ee8eaa","149.56","55.22","","7.06","","","40.47","","25.51","","","","","","","7.83","","13.47","","",""
"47","2025-05-07 23:05:18","6","en","746625234","2025-05-07 23:02:32","2025-05-07 23:05:18","80.47.109.47","","A5","","","A7","AGA","","","","","","","","","A2","4","0","5a8185b8aa46dd00016b80d6","168.07","53.76","","6.79","","","62.86","","29.77","","","","","","","5.46","","9.43","","",""
"48","2025-05-07 23:04:22","6","en","383804230","2025-05-07 23:02:41","2025-05-07 23:04:22","86.10.219.27","","A5","","","A7","AGA","","","","","","","","","A2","3","0","60fcb280d58f26d33cb004a6","103.66","30.7","","4.57","","","32.35","","19.02","","","","","","","6.15","","10.87","","",""
"49","2025-05-07 23:05:04","6","en","514786841","2025-05-07 23:03:23","2025-05-07 23:05:04","92.113.40.180","","A5","","","A7","AGR","","","","","","","","","A2","6","1","67e5eab3dc572f7c0ad8b36f","102.5","19.37","","8.75","","","16.56","","24.18","","","","","","","16.08","","17.56","","",""
"50","2025-05-07 23:05:45","6","en","626256291","2025-05-07 23:03:26","2025-05-07 23:05:45","172.56.218.4","","A5","","","A3","","","AGA","","","","","","","A2","3","0","65ebbbc0a6328372037a40c1","140.73","48.28","","6.86","","","40.24","","27.04","","","","","","","6.96","","11.35","","",""
"51","2025-05-07 23:09:00","6","en","381929182","2025-05-07 23:03:32","2025-05-07 23:09:00","86.177.115.23","","A5","","","A4","","","","","-oth-","","","","i had no information on what the CEO knew","A2","5","0","5ea057b821f4e400081b71a7","328.31","105.98","","5.37","","","44.73","","133.65","","","","","","","18.27","","20.31","","",""
"52","2025-05-07 23:17:19","6","en","741338254","2025-05-07 23:14:23","2025-05-07 23:17:19","129.65.181.117","","A5","","","A6","AGR","","","","","","","","","A1","5","0","66fac66a574a89324f8980df","178.88","15.76","","2.9","","","132.98","","13.7","","","","","","","4.29","","9.25","","",""
"53","2025-05-07 23:19:46","6","en","243116174","2025-05-07 23:17:24","2025-05-07 23:19:46","154.7.225.253","","A5","","","A1","","","AGB","","","","","","","A2","6","0","6677328704eab5e142f81a4c","181.95","74.64","","9.71","","","25.76","","38.8","","","","","","","9.78","","23.26","","",""
"54","2025-05-07 23:21:17","6","en","1098034957","2025-05-07 23:19:24","2025-05-07 23:21:17","70.95.74.131","https://app.prolific.com/","A5","","","A7","AGA","","","","","","","","","A2","5","1","677af995d5aabfb59f938acf","116.29","33.93","","5.79","","","33.24","","20.69","","","","","","","10.73","","11.91","","",""
"55","2025-05-07 23:47:28","6","en","909024094","2025-05-07 23:45:48","2025-05-07 23:47:28","24.210.159.105","","A5","","","A7","AGR","","","","","","","","","A2","2","0","5798e5674a84da00014c652b","102.72","33.49","","2.85","","","25.32","","22.13","","","","","","","5.57","","13.36","","",""
"56","2025-05-13 16:51:35","6","en","1549663021","2025-05-13 16:50:42","2025-05-13 16:51:35","149.50.163.75","","A5","","","A1","","","AGR","","","","","","","A2","5","0","66cf40a29f72528d5f3c752e","54.35","17.43","","3.02","","","12.26","","7.13","","","","","","","4.45","","10.06","","",""
"57","2025-05-13 16:53:47","6","en","1574740872","2025-05-13 16:51:25","2025-05-13 16:53:47","24.27.100.230","","A5","","","A6","AGA","","","","","","","","","A2","4","0","56b43607c54e3c000d3c9b0b","144.15","22.58","","3.14","","","12.78","","16.36","","","","","","","4.54","","84.75","","",""
