participant,PROLIFIC,condition,att,Kc[KnAG],Kc[KnST],Kc[KnPR],KAGJust,KSTJust,KPRJust,KAGNominal,KSTNominal,KPRNominal,IntChair
1,67eb91c75bdf0be76c9a7f7c,Harm,A5,2,2,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
2,640d43c9451ce148162a7643,Harm,A5,3,3,3,AGA,AGB,AGA,Agree,Agree,Agree,Yes
3,67389f3912380b4b3cd0b7d7,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
4,67d3429b4fd895a6f9d81f2c,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
5,6547eba1d8a02576605bcfb2,Harm,A5,3,3,3,AGB,AGB,AGB,Agree,Agree,Agree,Yes
6,5c3b70640eaa0100018ea877,Harm,A5,3,3,3,AGR,AGR,AGR,Agree,Agree,Agree,No
7,67e70a61f963fecfc78db7ab,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
8,667410863d71e0ac637deb22,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
9,611341c34be95409850e4341,Harm,A5,3,3,3,AGR,AGR,AGA,Agree,Agree,Agree,Yes
10,5f4e52a627d2a0000a8ed0c5,Harm,A5,3,3,3,AGA,AGB,AGA,Agree,Agree,Agree,Yes
11,5a8ad2082a842c0001fce0f2,Harm,A5,3,3,3,AGB,AGA,AGB,Agree,Agree,Agree,Yes
12,5b233660648d5b0001b7de87,Harm,A5,3,3,3,AGB,AGA,AGB,Agree,Agree,Agree,Yes
13,6413c7853eba2b2215197ff4,Harm,A5,2,2,2,AGA,AGA,AGB,Agree,Agree,Agree,Yes
14,680d72d437427b266e36d491,Harm,A3,2,3,2,AGB,AGB,AGA,Agree,Agree,Agree,Yes
15,67227b6a95c02df067984f28,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
16,67e1d6b31e541f205d4a3f23,Harm,A5,2,2,2,AGA,AGA,AGA,Agree,Agree,Agree,Yes
17,5e40c06ac0507c307ee951eb,Harm,A5,3,3,3,AGB,AGB,AGB,Agree,Agree,Agree,Yes
18,674f0dc1e24f68c484ad6468,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
19,66bbcf42208f7ca6793ac25b,Harm,A5,3,3,3,AGB,AGA,AGA,Agree,Agree,Agree,Yes
20,67ed61848c7659044358adf0,Harm,A5,2,2,2,AGA,AGA,AGA,Agree,Agree,Agree,Yes
21,67d87fa5f2beefdc110fb4b2,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
22,67e6bc676fb4db70edc23b5b,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
23,67ddb06bc7175d8f155fe2bf,Harm,A5,3,3,3,AGB,AGB,AGB,Agree,Agree,Agree,Yes
24,67db00b9b0cbd161b541fb5c,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
25,67590d4b1fe16ac844f9a239,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
26,62b9c2f1e55fe9f17dfedc5d,Harm,A5,3,3,3,AGR,AGA,AGR,Agree,Agree,Agree,Yes
27,676f1188960410219e5ea0a8,Harm,A5,3,3,3,AGR,AGA,AGA,Agree,Agree,Agree,Yes
28,66cd14d073d037ecfd8ddfbb,Harm,A1,3,3,3,AGA,AGR,AGA,Agree,Agree,Agree,Yes
29,6113baed20301957a13e9752,Harm,A5,3,3,3,AGB,AGA,AGA,Agree,Agree,Agree,Yes
30,62a0b34cbcc5987a8fa73c39,Harm,A5,3,3,3,AGB,AGB,AGB,Agree,Agree,Agree,Yes
31,67e42560410a61123e726006,Harm,A5,3,3,3,AGB,AGB,AGB,Agree,Agree,Agree,Yes
32,67a796cd3ddc2ecc4a26fa35,Harm,A5,2,2,3,AGA,AGR,AGA,Agree,Agree,Agree,No
33,66da38dc1d5b9365584508ca,Harm,A5,3,3,3,AGB,AGB,AGA,Agree,Agree,Agree,No
34,67fbec8b63f4ba4635c03f9c,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
35,6658b1b56a1df274ee633fdc,Harm,A5,3,3,3,AGB,AGA,AGA,Agree,Agree,Agree,Yes
36,67e0ba9eff2d77b2a3509e3e,Harm,A5,3,3,3,AGR,AGR,AGR,Agree,Agree,Agree,Yes
37,65847ecf0896ca006d2c00b7,Harm,A5,3,3,3,AGB,AGB,AGA,Agree,Agree,Agree,Yes
38,63ea751b7686e752f5ef78b2,Harm,A5,3,3,3,AGB,AGA,AGA,Agree,Agree,Agree,Yes
39,67da04c280954fc1c778ca02,Harm,A5,0,1,2,AGB,AGA,AGR,Hesitate,Agree,Agree,Yes
40,671fca7287fb225453006af0,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
41,5d8a64630ffb9c001746ca2c,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
42,5dfdc45e617219a8e2e05c26,Harm,A5,3,3,3,AGA,AGA,AGB,Agree,Agree,Agree,Yes
43,67d35d2c2eff9287d28e04e8,Harm,A2,2,3,3,AGB,AGB,AGB,Agree,Agree,Agree,Yes
44,63e5747f1eb29ec68ae2ddd6,Harm,A5,2,2,2,AGR,AGR,AGR,Agree,Agree,Agree,Yes
45,595d3afcdd044900012ce78a,Harm,A5,3,3,3,AGB,AGB,AGB,Agree,Agree,Agree,Yes
46,6788016149f55de703ae6057,Harm,A5,3,3,3,AGR,AGA,AGA,Agree,Agree,Agree,Yes
47,5c4f0e755d386b00016e772b,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
48,665762fdab6df18f5032505b,Harm,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,Yes
49,677d9b8e5f2363678ce285aa,Harm,A5,3,3,3,AGB,AGB,AGB,Agree,Agree,Agree,No
50,63222311994c6e4c35bb2a55,Harm,A5,3,3,3,AGA,AGB,AGA,Agree,Agree,Agree,No
51,66bbafb05de7e549455aa4ff,Harm,A5,1,2,3,AGR,AGR,AGR,Agree,Agree,Agree,Yes
52,67d1f6824f74bd16996512c0,Harm,A5,3,3,3,AGB,AGB,AGB,Agree,Agree,Agree,Yes
53,67edb75b0744561f1cf6ff9d,Harm,A5,3,3,3,AGB,AGB,AGR,Agree,Agree,Agree,Yes
54,67f32ac5f6a4ce3d9f9c697d,Harm,A5,3,3,3,AGR,AGA,AGR,Agree,Agree,Agree,Yes
55,66e4ca06d1621d63704c83f9,Help,A5,3,3,3,-oth-,-oth-,AGB,Agree,Agree,Agree,Yes
56,65c0ed76e2e195876cfd9b74,Help,A5,1,1,1,-oth-,AGR,-oth-,Agree,Agree,Agree,No
57,678df4f0880dc11090c4839e,Help,A5,1,2,2,AGA,AGR,AGA,Agree,Agree,Agree,No
58,67d75f1ff8a898b755874144,Help,A5,-3,-3,-3,AGR,AGR,AGR,Disagree,Disagree,Disagree,No
59,6811ffcdbe04a28e7b3ab8a9,Help,A5,-3,-1,-2,AGR,AGR,AGR,Disagree,Disagree,Disagree,No
60,67094d6215b6d0fe3e8c3e39,Help,A5,-3,1,-1,AGB,AGA,AGB,Disagree,Agree,Disagree,No
61,67da8a039573449932d3f158,Help,A5,-3,-3,-3,AGR,AGR,AGR,Disagree,Disagree,Disagree,No
62,67e7cdfb2d3c81d83ccef700,Help,A5,1,2,2,AGR,AGR,AGR,Agree,Agree,Agree,No
63,5be8dab5d153f500019ab320,Help,A5,1,1,1,AGR,AGR,AGR,Agree,Agree,Agree,No
64,58d0632c2fc72000011f8c57,Help,A5,-1,1,2,-oth-,AGR,AGR,Disagree,Agree,Agree,No
65,66ca41de318c12cd9f59b13a,Help,A5,3,3,3,AGB,AGR,AGR,Agree,Agree,Agree,Yes
66,67e976a6e06398ceb7d16dd4,Help,A5,-1,-1,2,AGB,AGB,AGA,Disagree,Disagree,Agree,No
67,67f2f986d7ff7b3e48ea927d,Help,A5,1,1,2,-oth-,AGR,AGR,Agree,Agree,Agree,No
68,63a2844c9d6acbec7228a420,Help,A5,2,2,2,AGA,AGA,AGA,Agree,Agree,Agree,No
69,67eaa8044e370fe61f1764a0,Help,A5,-2,-2,-2,AGR,AGA,AGR,Disagree,Disagree,Disagree,No
70,67e454623e6de5fb43257f74,Help,A5,2,3,2,AGR,AGR,AGB,Agree,Agree,Agree,Yes
71,66abf0c472f051b5e40cfbfd,Help,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,No
72,67d6ffe7dad4354b208e186d,Help,A5,-3,-1,0,AGR,AGB,AGA,Disagree,Disagree,Hesitate,No
73,67e9abb9af847e68878b7c45,Help,A5,2,2,2,AGA,AGA,AGA,Agree,Agree,Agree,No
74,66b78f42263a85bcf10a18b6,Help,A5,1,3,3,-oth-,AGA,AGA,Agree,Agree,Agree,No
75,5f04d20be5bc397b4e93df7a,Help,A5,3,3,3,AGA,AGR,AGA,Agree,Agree,Agree,No
76,67b9d2f7a49052c6e25c6a7f,Help,A5,3,3,3,AGA,AGA,AGB,Agree,Agree,Agree,No
77,67f2deca27b8cc9a90484c43,Help,A5,3,2,2,AGA,AGA,AGA,Agree,Agree,Agree,No
78,5ceef5a66441f4000139711f,Help,A5,3,3,3,AGA,AGA,AGR,Agree,Agree,Agree,No
79,67e184908b8cd53c87ac90a2,Help,A5,3,3,3,-oth-,AGA,-oth-,Agree,Agree,Agree,No
80,55cf5cc434e9060005e56c39,Help,A5,3,3,3,AGR,AGR,AGR,Agree,Agree,Agree,No
81,675330fb23080b9ae3ec8239,Help,A5,-1,-1,-1,AGA,AGB,AGA,Disagree,Disagree,Disagree,No
82,62916bb383e38e21d42cef2b,Help,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,No
83,5b57894babd7a000014845b8,Help,A5,2,2,2,AGA,AGA,-oth-,Agree,Agree,Agree,No
84,5efec82cf597a73e75e3fbe0,Help,A5,-3,-3,-3,AGA,AGA,AGA,Disagree,Disagree,Disagree,No
85,5efd22056ec55516587f32a6,Help,A5,-3,-3,-2,AGB,AGB,AGA,Disagree,Disagree,Disagree,No
86,676d746ed2391d1de669298a,Help,A5,3,3,3,AGB,AGB,AGA,Agree,Agree,Agree,No
87,6508adaced024f8da237ff03,Help,A5,3,3,3,-oth-,-oth-,AGA,Agree,Agree,Agree,No
88,67363452674f3db8059e7888,Help,A5,2,2,2,AGA,AGA,AGA,Agree,Agree,Agree,No
89,66f4c82536b5c8271f53564c,Help,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,No
90,643db5baa695a720a1bbdb4f,Help,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,No
91,6234965d3869b875dc31d93a,Help,A5,3,3,3,AGB,AGA,AGA,Agree,Agree,Agree,No
92,680dcb74ab0a3a21ef2d6d89,Help,A5,2,3,3,AGR,AGR,AGR,Agree,Agree,Agree,No
93,65dfbf73ec3a047b5653add8,Help,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,No
94,67c35bed28161edad1829850,Help,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,No
95,67f24dddcc783cdf7a1ea017,Help,A5,1,1,2,AGA,AGA,AGA,Agree,Agree,Agree,No
96,62b44f66a16d45783569fad6,Help,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,No
97,67d89acf081049fa0e311adc,Help,A5,1,2,3,AGB,AGB,AGB,Agree,Agree,Agree,No
98,67ad0cc9f3a3feb73e22852d,Help,A5,0,0,0,AGR,AGB,AGA,Hesitate,Hesitate,Hesitate,No
99,67673cda94b4d0cf1a6a7382,Help,A5,-3,-2,0,AGB,AGB,AGB,Disagree,Disagree,Hesitate,No
100,5c7c1f95e926fc00160b4b45,Help,A5,0,0,-1,AGR,AGB,AGR,Hesitate,Hesitate,Disagree,Yes
101,67312771712151bbee75c7e2,Help,A5,2,2,0,AGR,AGR,AGA,Agree,Agree,Hesitate,No
102,677406a14c6e104dba32e029,Help,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,No
103,5c747b0f181ad300113363ed,Help,A5,1,0,1,AGR,AGB,AGA,Agree,Hesitate,Agree,No
104,67e971fe972a4be474579d18,Help,A5,-1,0,0,AGB,AGA,AGR,Disagree,Hesitate,Hesitate,No
105,6778aa34a81ab2f07e0d4c25,Help,A5,3,3,3,AGA,AGA,AGA,Agree,Agree,Agree,No
106,5dcf7b49523df00ae9c4e07e,Help,A5,1,2,2,AGA,AGA,AGA,Agree,Agree,Agree,Yes
108,6712dc9aa03ad1da92e70829,Help,A5,-3,-3,-2,AGB,AGB,AGB,Disagree,Disagree,Disagree,No
109,679ff314e2068250f20a0863,Help,A5,3,-3,3,AGB,AGB,AGA,Agree,Disagree,Agree,Yes
110,670075d557d79b4cef60c761,Help,A5,-2,-2,-2,AGR,AGR,AGA,Disagree,Disagree,Disagree,No
