"id","submitdate","lastpage","startlanguage","seed","startdate","datestamp","ipaddr","refurl","att","SUCCESS","pause1","Kc[KnST]","Kc[KnPR]","Kc[KnAG]","HrKnSTAgr","HrKnSTAgr[other]","HrKnSTDis","HrKnSTDis[other]","HrKnSTHes","HrKnSTHes[other]","HrKnSTAgrOt","HrKnSTDisOt","HrKnSTHesOt","HrKnPRAgr","HrKnPRAgr[other]","HrKnPRDis","HrKnPRDis[other]","HrKnPRHes","HrKnPRHes[other]","HrKnPRAgrOt","HrKnPRDisOt","HrKnPRHesOt","HrKnAGAgr","HrKnAGAgr[other]","HrKnAGDis","HrKnAGDis[other]","HrKnAGHes","HrKnAGHes[other]","HrKnAGAgrOt","HrKnAGDisOt","HrKnAGHesOt","IntChair","M3","M4","PROLIFIC","interviewtime","groupTime48403","attTime","groupTime48402","SUCCESSTime","pause1Time","groupTime48406","KcTime","groupTime48409","HrKnSTAgrTime","HrKnSTDisTime","HrKnSTHesTime","HrKnSTAgrOtTime","HrKnSTDisOtTime","HrKnSTHesOtTime","groupTime48408","HrKnPRAgrTime","HrKnPRDisTime","HrKnPRHesTime","HrKnPRAgrOtTime","HrKnPRDisOtTime","HrKnPRHesOtTime","groupTime48405","HrKnAGAgrTime","HrKnAGDisTime","HrKnAGHesTime","HrKnAGAgrOtTime","HrKnAGDisOtTime","HrKnAGHesOtTime","groupTime48407","IntChairTime","groupTime48404","M3Time","M4Time","PROLIFICTime"
"7","2025-05-07 23:51:34","8","en","1496649492","2025-05-07 23:47:16","2025-05-07 23:51:34","92.113.15.240","","A2","if(att != 'A5', 1,0)","","A7","A7","A6","AGB","","","","","","","","","AGB","","","","","","","","","AGB","","","","","","","","","A1","5","1","67d35d2c2eff9287d28e04e8","260.28","49.57","","8.38","","","60.22","","34.75","","","","","","","34.32","","","","","","","29.96","","","","","","","23.52","","19.56","","",""
"8","2025-05-07 23:49:18","8","en","1794743311","2025-05-07 23:47:41","2025-05-07 23:49:18","45.117.138.7","","A5","","","A6","A6","A6","AGR","","","","","","","","","AGR","","","","","","","","","AGR","","","","","","","","","A1","3","0","63e5747f1eb29ec68ae2ddd6","98.29","28.28","","2.21","","","22.95","","9.91","","","","","","","11.54","","","","","","","6.59","","","","","","","9.1","","7.71","","",""
"9","2025-05-07 23:55:07","8","en","740583462","2025-05-07 23:53:22","2025-05-07 23:55:07","81.104.13.223","","A5","","","A7","A7","A7","AGB","","","","","","","","","AGB","","","","","","","","","AGB","","","","","","","","","A1","3","0","595d3afcdd044900012ce78a","109.11","22.78","","5.89","","","26.24","","19.61","","","","","","","13.2","","","","","","","7.28","","","","","","","4.81","","9.3","","",""
"10","2025-05-07 23:57:12","8","en","591939800","2025-05-07 23:54:44","2025-05-07 23:57:12","99.30.169.178","","A5","","","A7","A7","A7","AGA","","","","","","","","","AGA","","","","","","","","","AGR","","","","","","","","","A1","3","0","6788016149f55de703ae6057","149.73","21.15","","6.08","","","18.51","","19.82","","","","","","","51.81","","","","","","","11.65","","","","","","","11","","9.71","","",""
"11","2025-05-07 23:58:23","8","en","2089913468","2025-05-07 23:54:51","2025-05-07 23:58:23","207.255.198.56","","A5","","","A7","A7","A7","AGA","","","","","","","","","AGA","","","","","","","","","AGA","","","","","","","","","A1","3","0","5c4f0e755d386b00016e772b","215.45","54.33","","9.72","","","35.17","","35.36","","","","","","","19.44","","","","","","","22.51","","","","","","","20.01","","18.91","","",""
"12","2025-05-08 00:01:07","8","en","983455198","2025-05-07 23:57:43","2025-05-08 00:01:07","148.75.185.214","","A5","","","A7","A7","A7","AGA","","","","","","","","","AGA","","","","","","","","","AGA","","","","","","","","","A1","3","0","665762fdab6df18f5032505b","206.31","29.26","","8.33","","","82.36","","28.4","","","","","","","28.11","","","","","","","12.99","","","","","","","4.56","","12.3","","",""
"13","2025-05-08 00:04:11","8","en","1575386365","2025-05-07 23:58:03","2025-05-08 00:04:11","67.168.162.49","","A5","","","A7","A7","A7","AGB","","","","","","","","","AGB","","","","","","","","","AGB","","","","","","","","","A2","5","0","677d9b8e5f2363678ce285aa","369.53","41.91","","3.99","","","49.15","","120.92","","","","","","","48.7","","","","","","","35.38","","","","","","","54.24","","15.24","","",""
"14","2025-05-08 00:03:08","8","en","221192400","2025-05-07 23:59:34","2025-05-08 00:03:08","90.241.236.170","","A5","","","A7","A7","A7","AGB","","","","","","","","","AGA","","","","","","","","","AGA","","","","","","","","","A2","4","0","63222311994c6e4c35bb2a55","216.95","40.33","","8.53","","","61.3","","35.36","","","","","","","18.51","","","","","","","21.09","","","","","","","11.05","","20.78","","",""
"15","2025-05-08 01:07:17","8","en","833762098","2025-05-08 01:04:44","2025-05-08 01:07:17","31.185.38.28","","A5","","","A6","A7","A5","AGR","","","","","","","","","AGR","","","","","","","","","AGR","","","","","","","","","A1","4","0","66bbafb05de7e549455aa4ff","153.96","22.04","","4.32","","","39.56","","21.92","","","","","","","26.96","","","","","","","10.61","","","","","","","6.35","","22.2","","",""
"16","2025-05-08 01:09:39","8","en","892435649","2025-05-08 01:05:05","2025-05-08 01:09:39","173.3.221.102","","A5","","","A7","A7","A7","AGB","","","","","","","","","AGB","","","","","","","","","AGB","","","","","","","","","A1","3","0","67d1f6824f74bd16996512c0","277.2","42.99","","9.36","","","44.4","","56.65","","","","","","","75.96","","","","","","","22.68","","","","","","","11.27","","13.89","","",""
"17","2025-05-08 01:11:22","8","en","754596453","2025-05-08 01:05:09","2025-05-08 01:11:22","75.217.32.94","","A5","","","A7","A7","A7","AGB","","","","","","","","","AGR","","","","","","","","","AGB","","","","","","","","","A1","4","0","67edb75b0744561f1cf6ff9d","374.83","84.13","","5.14","","","35.23","","101.16","","","","","","","59.55","","","","","","","35.05","","","","","","","16.13","","38.44","","",""
"18","2025-05-08 01:10:14","8","en","231834143","2025-05-08 01:05:25","2025-05-08 01:10:14","98.238.176.170","","A5","","","A7","A7","A7","AGA","","","","","","","","","AGR","","","","","","","","","AGR","","","","","","","","","A1","4","0","67f32ac5f6a4ce3d9f9c697d","291.95","61.85","","12.26","","","50.09","","49","","","","","","","36.13","","","","","","","32.44","","","","","","","16.83","","33.35","","",""
